"Index","X3M","X6M","X1Y","X2Y","X3Y","X4Y","X5Y","X6Y","X7Y","X8Y","X9Y","X10Y","X11Y","X12Y","X13Y","X14Y","X15Y","X16Y","X17Y","X18Y","X19Y","X20Y","X21Y","X22Y","X23Y","X24Y","X25Y","X26Y","X27Y","X28Y","X29Y","X30Y"
"2014-01-06",0.096788,0.085733,0.100561,0.240272,0.471109,0.745655,1.032791,1.312861,1.574175,1.81048,2.019161,2.199954,2.354056,2.483501,2.590744,2.67838,2.748965,2.804916,2.848442,2.881525,2.905908,2.923109,2.934429,2.940976,2.943687,2.943344,2.9406,2.935995,2.92997,2.922889,2.915043,2.90667
"2014-01-13",0.099963,0.08501,0.091689,0.215049,0.431146,0.693599,0.971602,1.245397,1.502973,1.737661,1.946412,2.128555,2.284926,2.417254,2.527745,2.6188,2.692829,2.752137,2.798861,2.834931,2.862063,2.88176,2.895323,2.903867,2.908339,2.909538,2.908136,2.90469,2.899661,2.893428,2.886303,2.878538
"2014-01-20",0.136423,0.114403,0.10633,0.200364,0.390569,0.632418,0.895516,1.159704,1.412168,1.64529,1.855073,2.039989,2.200141,2.336669,2.451322,2.546163,2.623372,2.68511,2.733436,2.77026,2.797311,2.816137,2.828102,2.834393,2.836037,2.833914,2.828774,2.821246,2.811864,2.801068,2.789226,2.77664
"2014-01-27",0.126838,0.104133,0.094261,0.183462,0.367901,0.603659,0.860742,1.119239,1.366481,1.594923,1.800589,1.981943,2.139059,2.273034,2.38557,2.478684,2.554507,2.615155,2.662646,2.698851,2.725467,2.744011,2.755821,2.762062,2.763743,2.761725,2.756745,2.749421,2.740276,2.729742,2.718181,2.705889
"2014-02-03",0.108758,0.074707,0.045296,0.105917,0.272449,0.497882,0.749922,1.006973,1.255127,1.485948,1.694826,1.879779,2.040578,2.17812,2.293982,2.390107,2.468592,2.531544,2.580991,2.61882,2.646757,2.666348,2.678958,2.685785,2.687864,2.686085,2.681205,2.673868,2.664613,2.65389,2.642076,2.62948
"2014-02-10",0.113429,0.084188,0.062733,0.134046,0.306443,0.534746,0.787888,1.045073,1.292904,1.523255,1.731695,1.916332,2.076974,2.214521,2.330534,2.426932,2.505784,2.569172,2.619096,2.657425,2.685866,2.705951,2.719037,2.726314,2.728811,2.727415,2.722884,2.715861,2.706885,2.696409,2.684811,2.672402
"2014-02-17",0.113284,0.082238,0.058162,0.127328,0.300412,0.531096,0.787529,1.048383,1.299915,1.533782,1.745425,1.93289,2.09596,2.235541,2.353215,2.450933,2.530799,2.594931,2.645367,2.68401,2.712597,2.732688,2.745667,2.752742,2.754965,2.753236,2.748329,2.740895,2.731485,2.72056,2.708504,2.695632
"2014-02-24",0.122166,0.092863,0.071051,0.141235,0.312616,0.540458,0.793862,1.052038,1.301508,1.534017,1.744994,1.932414,2.095963,2.23644,2.355322,2.454468,2.535901,2.601672,2.653764,2.694038,2.724201,2.745792,2.760177,2.768558,2.77198,2.771348,2.767432,2.760892,2.752283,2.742072,2.730649,2.718338
"2014-03-03",0.139144,0.106979,0.078629,0.133566,0.288381,0.499633,0.737232,0.980847,1.217227,1.438194,1.639149,1.817981,1.974255,2.108636,2.222462,2.317457,2.395518,2.458582,2.508529,2.54713,2.576014,2.596652,2.610351,2.618266,2.6214,2.620622,2.616675,2.610194,2.601714,2.591688,2.58049,2.568435
"2014-03-10",0.184871,0.15338,0.125285,0.178105,0.329598,0.537943,0.773794,1.017028,1.254296,1.477159,1.680703,1.862491,2.021799,2.159044,2.275374,2.372368,2.451831,2.515644,2.565669,2.603681,2.631335,2.650143,2.661465,2.666511,2.666344,2.661892,2.653959,2.643233,2.630303,2.615667,2.599747,2.582893
"2014-03-17",0.183597,0.150766,0.118951,0.161811,0.302248,0.500173,0.727177,0.963557,1.196047,1.416099,1.618573,1.800762,1.961657,2.101403,2.220902,2.32152,2.404879,2.472714,2.526767,2.568724,2.600174,2.622579,2.637269,2.645434,2.64813,2.646284,2.640706,2.632095,2.621052,2.608091,2.593648,2.578091
"2014-03-24",0.192546,0.166087,0.145112,0.203246,0.352358,0.554205,0.781782,1.016444,1.245718,1.461641,1.659501,1.836897,1.993036,2.12821,2.243412,2.340066,2.419822,2.484422,2.535602,2.575036,2.604287,2.624797,2.637866,2.64466,2.646209,2.643415,2.637064,2.627833,2.616305,2.602974,2.588262,2.572521
"2014-03-31",0.159271,0.132692,0.111933,0.171793,0.323571,0.528385,0.758831,0.996038,1.22742,1.444973,1.643994,1.822119,1.978604,2.113797,2.228751,2.324939,2.404063,2.467906,2.518243,2.556776,2.585095,2.60466,2.616789,2.62266,2.623311,2.619651,2.612471,2.60245,2.590172,2.576133,2.560752,2.544383
"2014-04-07",0.162958,0.134794,0.109532,0.157548,0.297028,0.491461,0.714546,0.947703,1.178154,1.397444,1.600296,1.78375,1.9465,2.088395,2.210067,2.312653,2.397593,2.466486,2.520979,2.562703,2.59322,2.613994,2.626374,2.631589,2.63074,2.62481,2.614666,2.601067,2.584675,2.56606,2.545715,2.524059
"2014-04-14",0.15535,0.129729,0.108301,0.159922,0.299084,0.490647,0.709303,0.937188,1.162026,1.375703,1.573172,1.751617,1.909812,2.047644,2.165752,2.265263,2.34759,2.414297,2.466994,2.507274,2.536658,2.556574,2.568336,2.57314,2.572059,2.566048,2.555951,2.542506,2.526356,2.508057,2.488086,2.466851
"2014-04-17",0.122633,0.105302,0.097234,0.165316,0.311237,0.503417,0.719048,0.941986,1.161111,1.369058,1.56124,1.735097,1.889521,2.024429,2.140427,2.238575,2.320204,2.386784,2.439836,2.480862,2.511307,2.532526,2.545771,2.552186,2.552799,2.548529,2.540188,2.528493,2.514068,2.497454,2.479117,2.45946
"2014-04-28",0.142144,0.127212,0.122964,0.195391,0.34227,0.532994,0.745509,0.964248,1.178528,1.381312,1.568252,1.736961,1.886453,2.016724,2.12843,2.222656,2.300742,2.364155,2.414402,2.45297,2.481278,2.500659,2.512341,2.517441,2.516962,2.5118,2.502746,2.490495,2.475652,2.458741,2.440213,2.420455
"2014-05-05",0.137224,0.111756,0.089926,0.138618,0.273075,0.459076,0.671932,0.894177,1.113778,1.322757,1.516127,1.69108,1.846367,1.981835,2.098069,2.196137,2.277399,2.343362,2.395586,2.435618,2.464938,2.48494,2.496906,2.502005,2.50129,2.495696,2.486053,2.473085,2.457427,2.439626,2.420153,2.399411
"2014-05-12",0.143296,0.115839,0.090581,0.134419,0.266299,0.451563,0.665126,0.889175,1.111382,1.323516,1.520386,1.699018,1.85803,1.997169,2.116943,2.218367,2.30276,2.371609,2.426461,2.468858,2.500286,2.522144,2.535729,2.542223,2.542694,2.538094,2.529269,2.516962,2.501821,2.484409,2.465211,2.444645
"2014-05-19",0.110978,0.080172,0.048227,0.079055,0.198844,0.373241,0.577292,0.793201,1.008583,1.215107,1.407457,1.582526,1.738803,1.875907,1.994233,2.094691,2.178509,2.247095,2.30193,2.344496,2.376234,2.398504,2.41257,2.419589,2.420609,2.416566,2.408294,2.396526,2.381906,2.36499,2.346263,2.326137
"2014-05-26",0.093159,0.061636,0.028951,0.060442,0.182794,0.360807,0.568944,0.789015,1.008383,1.218564,1.414161,1.592031,1.750661,1.88969,2.009544,2.111172,2.195844,2.265008,2.320184,2.362894,2.394608,2.416718,2.430513,2.437174,2.437767,2.433247,2.42446,2.412151,2.396972,2.379491,2.360194,2.339504
"2014-06-02",0.092174,0.059819,0.024969,0.050911,0.167193,0.339479,0.542709,0.758917,0.975519,1.183981,1.378792,1.55667,1.715951,1.856125,1.977484,2.080855,2.167405,2.238497,2.295582,2.340128,2.373565,2.397255,2.412469,2.420377,2.422041,2.418414,2.410349,2.398599,2.383824,2.366601,2.347433,2.326749
"2014-06-09",0.08247,0.049568,0.013183,0.035088,0.147162,0.315934,0.516822,0.732065,0.949105,1.15932,1.357049,1.538822,1.70278,1.848222,1.975259,2.08456,2.177153,2.254283,2.317306,2.367612,2.406574,2.435509,2.455658,2.468173,2.474106,2.474409,2.469938,2.461455,2.449635,2.43507,2.418276,2.399705
"2014-06-16",0.047931,0.016324,-0.017439,0.009698,0.1268,0.300226,0.505281,0.724139,0.944213,1.156882,1.356504,1.539644,1.704487,1.85038,1.977487,2.086529,2.178584,2.254944,2.317008,2.366206,2.403946,2.431578,2.450369,2.461493,2.466022,2.464926,2.459073,2.449237,2.436099,2.420258,2.402237,2.382488
