"Index","X1.mo","X3.mo","X6.mo","X1.yr","X2.yr","X3.yr","X5.yr","X7.yr","X10.yr","X20.yr","X30.yr"
"2009-04-06",0.16,0.2,0.4,0.6,0.94,1.37,1.9,2.55,2.95,3.82,3.73
"2009-04-13",0.12,0.18,0.37,0.57,0.89,1.27,1.81,2.39,2.88,3.78,3.69
"2009-04-20",0.04,0.14,0.34,0.54,0.93,1.27,1.82,2.39,2.88,3.8,3.69
"2009-04-27",0.07,0.13,0.3,0.49,0.9,1.31,1.87,2.48,2.95,3.92,3.84
"2009-05-04",0.14,0.19,0.33,0.52,0.94,1.4,2.03,2.7,3.19,4.11,4.06
"2009-05-11",0.16,0.19,0.3,0.53,0.92,1.34,2.04,2.67,3.17,4.15,4.18
"2009-05-18",0.12,0.19,0.3,0.5,0.93,1.36,2.09,2.73,3.22,4.16,4.18
"2009-05-22",0.13,0.18,0.3,0.49,0.92,1.39,2.23,2.96,3.45,4.36,4.38
"2009-06-01",0.13,0.13,0.29,0.48,0.97,1.52,2.55,3.28,3.71,4.56,4.55
"2009-06-08",0.08,0.19,0.35,0.62,1.42,2,2.95,3.6,3.91,4.66,4.65
"2009-06-15",0.08,0.17,0.29,0.51,1.26,1.84,2.75,3.39,3.76,4.58,4.61
"2009-06-22",0.12,0.2,0.34,0.5,1.17,1.77,2.75,3.37,3.72,4.45,4.45
"2009-06-29",0.11,0.2,0.36,0.51,1.11,1.63,2.53,3.18,3.51,4.29,4.31
"2009-07-06",0.15,0.19,0.28,0.48,0.96,1.48,2.4,3.12,3.52,4.29,4.35
"2009-07-13",0.15,0.18,0.28,0.47,0.92,1.41,2.27,2.94,3.38,4.21,4.25
"2009-07-20",0.15,0.19,0.28,0.47,0.99,1.54,2.46,3.14,3.61,4.45,4.47
"2009-07-27",0.15,0.19,0.27,0.49,1.08,1.63,2.63,3.31,3.75,4.6,4.62
"2009-08-03",0.15,0.19,0.28,0.48,1.18,1.72,2.66,3.3,3.66,4.4,4.42
"2009-08-10",0.15,0.19,0.29,0.49,1.24,1.79,2.75,3.4,3.8,4.49,4.52
"2009-08-17",0.11,0.18,0.27,0.45,1.04,1.54,2.43,3.09,3.48,4.26,4.33
"2009-08-24",0.11,0.17,0.26,0.44,1.05,1.57,2.5,3.13,3.48,4.22,4.27
"2009-08-31",0.11,0.15,0.24,0.43,0.97,1.49,2.39,3.03,3.4,4.14,4.18
"2009-09-04",0.09,0.14,0.23,0.42,0.94,1.46,2.36,3.06,3.45,4.21,4.27
"2009-09-14",0.08,0.14,0.21,0.4,0.94,1.46,2.37,3.01,3.42,4.16,4.22
"2009-09-21",0.05,0.11,0.2,0.4,1.02,1.56,2.47,3.11,3.49,4.2,4.23
"2009-09-28",0.03,0.11,0.18,0.4,0.98,1.47,2.33,2.95,3.31,4.02,4.04
"2009-10-05",0.04,0.08,0.15,0.36,0.88,1.38,2.21,2.82,3.24,3.98,4.01
"2009-10-09",0.04,0.07,0.16,0.38,0.98,1.5,2.36,2.98,3.4,4.2,4.22
"2009-10-19",0.06,0.08,0.18,0.38,0.99,1.5,2.36,2.98,3.41,4.19,4.21
"2009-10-26",0.04,0.08,0.18,0.41,1.06,1.61,2.53,3.17,3.59,4.35,4.37
"2009-11-02",0.03,0.06,0.17,0.38,0.92,1.44,2.33,3,3.45,4.22,4.26
"2009-11-09",0.06,0.07,0.17,0.34,0.87,1.4,2.31,3.01,3.52,4.34,4.4
"2009-11-16",0.05,0.07,0.17,0.31,0.78,1.28,2.19,2.87,3.33,4.18,4.26
"2009-11-23",0.05,0.05,0.14,0.29,0.77,1.28,2.2,2.9,3.37,4.2,4.29
"2009-11-30",0.08,0.06,0.15,0.27,0.67,1.12,2.01,2.69,3.21,4.07,4.2
"2009-12-07",0.07,0.04,0.16,0.32,0.78,1.26,2.19,2.92,3.44,4.29,4.4
"2009-12-14",0.02,0.04,0.16,0.37,0.87,1.35,2.3,3.04,3.56,4.39,4.49
"2009-12-21",0.01,0.08,0.17,0.4,0.89,1.42,2.43,3.18,3.69,4.47,4.56
"2009-12-28",0.03,0.11,0.2,0.47,1.09,1.63,2.62,3.34,3.85,4.61,4.69
"2010-01-04",0.05,0.08,0.18,0.45,1.09,1.66,2.65,3.36,3.85,4.6,4.65
"2010-01-11",0.01,0.04,0.13,0.35,0.95,1.55,2.58,3.32,3.85,4.64,4.74
"2010-01-15",0.03,0.06,0.15,0.33,0.89,1.44,2.44,3.17,3.7,4.48,4.58
"2010-01-25",0.02,0.06,0.14,0.3,0.86,1.4,2.39,3.12,3.66,4.42,4.55
"2010-02-01",0.05,0.1,0.17,0.33,0.86,1.41,2.38,3.12,3.68,4.43,4.56
"2010-02-08",0.04,0.12,0.17,0.32,0.79,1.3,2.26,3.03,3.62,4.38,4.52
