Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=a84d6d4e363935007adfef754b21c2a0&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=YC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691417&legendRef=reference&legendPub=published&legendNor=
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_11Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_12Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_13Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_14Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_16Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_17Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_18Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_19Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_20Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_21Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_22Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_23Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_24Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_25Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_26Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_27Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_28Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_29Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y
,"Yield curve spot rate, 10-year maturity","Yield curve spot rate, 11-year maturity","Yield curve spot rate, 12-year maturity","Yield curve spot rate, 13-year maturity","Yield curve spot rate, 14-year maturity","Yield curve spot rate, 15-year maturity","Yield curve spot rate, 16-year maturity","Yield curve spot rate, 17-year maturity","Yield curve spot rate, 18-year maturity","Yield curve spot rate, 19-year maturity","Yield curve spot rate, 1-year maturity","Yield curve spot rate, 20-year maturity","Yield curve spot rate, 21-year maturity","Yield curve spot rate, 22-year maturity","Yield curve spot rate, 23-year maturity","Yield curve spot rate, 24-year maturity","Yield curve spot rate, 25-year maturity","Yield curve spot rate, 26-year maturity","Yield curve spot rate, 27-year maturity","Yield curve spot rate, 28-year maturity","Yield curve spot rate, 29-year maturity","Yield curve spot rate, 2-year maturity","Yield curve spot rate, 30-year maturity","Yield curve spot rate, 3-month maturity","Yield curve spot rate, 3-year maturity","Yield curve spot rate, 4-year maturity","Yield curve spot rate, 5-year maturity","Yield curve spot rate, 6-month maturity","Yield curve spot rate, 6-year maturity","Yield curve spot rate, 7-year maturity","Yield curve spot rate, 8-year maturity","Yield curve spot rate, 9-year maturity"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2023-03-27,2.348881,2.368042,2.384431,2.397885,2.408410,2.416112,2.421148,2.423709,2.423997,2.422217,2.708262,2.418568,2.413245,2.406429,2.398293,2.388994,2.378680,2.367485,2.355534,2.342939,2.329802,2.477919,2.316216,2.746874,2.333212,2.271209,2.255869,2.777628,2.263733,2.282163,2.304546,2.327399
2023-03-24,2.204084,2.223173,2.239370,2.252609,2.262955,2.270549,2.275574,2.278228,2.278720,2.277253,2.612436,2.274025,2.269224,2.263026,2.255596,2.247085,2.237632,2.227366,2.216402,2.204845,2.192793,2.304047,2.180331,2.793422,2.156423,2.105574,2.099509,2.774672,2.113138,2.134789,2.158821,2.182399
2023-03-23,2.319663,2.337034,2.351992,2.364298,2.373900,2.380859,2.385300,2.387387,2.387300,2.385225,2.709276,2.381351,2.375857,2.368918,2.360695,2.351341,2.340997,2.329794,2.317851,2.305276,2.292170,2.484183,2.278622,2.802587,2.338398,2.269334,2.246495,2.798265,2.248156,2.261774,2.280456,2.300436
2023-03-22,2.437681,2.449053,2.458199,2.464844,2.468921,2.470490,2.469683,2.466674,2.461652,2.454816,2.801922,2.446361,2.436474,2.425335,2.413110,2.399952,2.386004,2.371394,2.356239,2.340646,2.324709,2.637998,2.308513,2.818226,2.506859,2.433626,2.401860,2.839285,2.394490,2.399987,2.411400,2.424719
2023-03-21,2.332589,2.346584,2.358025,2.366762,2.372811,2.376284,2.377344,2.376185,2.373006,2.368013,2.649016,2.361400,2.353356,2.344057,2.333667,2.322336,2.310203,2.297393,2.284019,2.270185,2.255983,2.455112,2.241496,2.797757,2.338035,2.283367,2.266353,2.755735,2.269515,2.282418,2.299160,2.316473
2023-03-20,2.205900,2.222845,2.236919,2.248096,2.256471,2.262203,2.265487,2.266531,2.265545,2.262735,2.504668,2.258298,2.252420,2.245273,2.237018,2.227801,2.217756,2.207005,2.195660,2.183818,2.171571,2.272303,2.158999,2.650051,2.153833,2.112025,2.108315,2.625888,2.121863,2.142365,2.164708,2.186317
2023-03-17,2.194619,2.204490,2.212810,2.219303,2.223871,2.226524,2.227335,2.226416,2.223899,2.219923,2.551252,2.214630,2.208158,2.200642,2.192206,2.182969,2.173040,2.162519,2.151498,2.140061,2.128284,2.369973,2.116236,2.708534,2.255371,2.194302,2.167458,2.658023,2.160455,2.164132,2.172979,2.183764
