"Tarih,""Şimdi"",""Açılış"",""Yüksek"",""Düşük"",""Hac."",""Fark %"""
"25.07.2023,""9.537,19"",""9.538,69"",""9.539,68"",""9.537,19"","""",""-0,07%"""
"24.07.2023,""9.543,50"",""9.417,00"",""9.543,50"",""9.401,00"",""121,34M"",""-0,29%"""
"21.07.2023,""9.571,50"",""9.521,00"",""9.571,50"",""9.481,20"",""114,90M"",""0,55%"""
"20.07.2023,""9.519,60"",""9.445,10"",""9.539,50"",""9.444,00"",""108,48M"",""0,72%"""
"19.07.2023,""9.451,80"",""9.482,80"",""9.532,40"",""9.433,10"",""92,23M"",""-0,04%"""
"18.07.2023,""9.455,70"",""9.446,50"",""9.471,80"",""9.388,90"",""88,49M"",""0,19%"""
"17.07.2023,""9.438,00"",""9.414,90"",""9.483,30"",""9.402,60"",""77,44M"",""0,00%"""
"14.07.2023,""9.438,30"",""9.468,90"",""9.507,20"",""9.437,80"",""105,13M"",""-0,43%"""
"13.07.2023,""9.478,70"",""9.459,10"",""9.523,60"",""9.444,80"",""118,16M"",""0,26%"""
"12.07.2023,""9.453,70"",""9.356,50"",""9.464,80"",""9.344,60"",""155,44M"",""1,31%"""
"11.07.2023,""9.331,10"",""9.295,80"",""9.333,70"",""9.226,70"",""100,28M"",""0,85%"""
"10.07.2023,""9.252,90"",""9.210,50"",""9.282,50"",""9.183,00"",""91,45M"",""0,04%"""
"07.07.2023,""9.248,80"",""9.246,90"",""9.258,60"",""9.169,80"",""114,92M"",""-0,39%"""
"06.07.2023,""9.285,00"",""9.384,60"",""9.435,90"",""9.261,20"",""142,18M"",""-2,12%"""
"05.07.2023,""9.486,30"",""9.541,70"",""9.567,90"",""9.470,70"",""116,02M"",""-1,06%"""
"04.07.2023,""9.588,40"",""9.635,00"",""9.649,80"",""9.580,90"",""97,86M"",""-0,58%"""
"03.07.2023,""9.644,80"",""9.604,30"",""9.658,60"",""9.598,60"",""119,15M"",""0,54%"""
"30.06.2023,""9.593,00"",""9.541,40"",""9.642,30"",""9.534,60"",""172,93M"",""0,87%"""
"29.06.2023,""9.510,60"",""9.486,20"",""9.524,10"",""9.479,00"",""103,48M"",""0,31%"""
"28.06.2023,""9.481,30"",""9.421,00"",""9.489,70"",""9.414,00"",""126,19M"",""0,94%"""
"27.06.2023,""9.393,00"",""9.309,20"",""9.399,50"",""9.287,30"",""120,55M"",""1,28%"""
"26.06.2023,""9.274,00"",""9.283,10"",""9.306,90"",""9.198,70"",""110,99M"",""0,09%"""
"23.06.2023,""9.265,80"",""9.305,60"",""9.334,10"",""9.239,70"",""124,53M"",""-1,06%"""
"22.06.2023,""9.364,70"",""9.365,50"",""9.365,90"",""9.284,20"",""108,51M"",""-0,76%"""
"21.06.2023,""9.436,40"",""9.431,20"",""9.463,50"",""9.415,30"",""101,63M"",""-0,04%"""
"20.06.2023,""9.439,80"",""9.418,30"",""9.469,10"",""9.401,00"",""87,72M"",""0,08%"""
"19.06.2023,""9.431,90"",""9.457,80"",""9.503,20"",""9.412,10"",""87,89M"",""-0,66%"""
"16.06.2023,""9.495,00"",""9.465,00"",""9.580,80"",""9.428,50"",""384,18M"",""0,68%"""
"15.06.2023,""9.430,80"",""9.404,10"",""9.453,70"",""9.389,30"",""123,38M"",""-0,02%"""
"14.06.2023,""9.432,80"",""9.333,70"",""9.468,10"",""9.315,90"",""155,57M"",""1,06%"""
"13.06.2023,""9.333,70"",""9.357,70"",""9.357,70"",""9.261,10"",""121,83M"",""-0,11%"""
"12.06.2023,""9.344,40"",""9.345,90"",""9.382,10"",""9.328,50"",""95,66M"",""0,37%"""
"09.06.2023,""9.309,70"",""9.345,70"",""9.370,40"",""9.288,60"",""84,88M"",""-0,31%"""
"08.06.2023,""9.338,30"",""9.358,70"",""9.427,60"",""9.331,70"",""109,45M"",""-0,23%"""
"07.06.2023,""9.359,80"",""9.296,30"",""9.401,80"",""9.294,90"",""100,91M"",""0,53%"""
"06.06.2023,""9.310,80"",""9.266,00"",""9.310,80"",""9.242,30"",""94,77M"",""0,23%"""
"05.06.2023,""9.289,10"",""9.352,00"",""9.382,40"",""9.276,10"",""102,11M"",""-0,30%"""
"02.06.2023,""9.317,30"",""9.216,20"",""9.324,80"",""9.204,20"",""132,60M"",""1,63%"""
"01.06.2023,""9.167,50"",""9.130,30"",""9.181,60"",""9.105,90"",""109,88M"",""1,30%"""
"31.05.2023,""9.050,20"",""9.096,50"",""9.183,40"",""9.034,90"",""401,51M"",""-1,28%"""
"30.05.2023,""9.167,50"",""9.189,00"",""9.248,30"",""9.156,00"",""111,50M"",""-0,14%"""
"29.05.2023,""9.180,10"",""9.263,10"",""9.271,10"",""9.146,60"",""59,24M"",""-0,12%"""
"26.05.2023,""9.191,10"",""9.137,80"",""9.210,90"",""9.048,20"",""99,20M"",""0,82%"""
"25.05.2023,""9.116,10"",""9.169,50"",""9.188,10"",""9.116,10"",""123,79M"",""-0,52%"""
"24.05.2023,""9.163,50"",""9.191,30"",""9.193,20"",""9.128,80"",""108,84M"",""-1,12%"""
"23.05.2023,""9.267,00"",""9.304,50"",""9.305,00"",""9.260,10"",""82,29M"",""-0,41%"""
"22.05.2023,""9.305,00"",""9.242,80"",""9.326,60"",""9.241,90"",""96,21M"",""0,58%"""
"19.05.2023,""9.251,50"",""9.247,20"",""9.309,40"",""9.222,90"",""127,28M"",""0,42%"""
"18.05.2023,""9.213,10"",""9.247,30"",""9.282,20"",""9.202,00"",""105,20M"",""0,02%"""
"17.05.2023,""9.211,60"",""9.148,20"",""9.218,60"",""9.125,70"",""110,93M"",""0,22%"""
