Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?node=9689726
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_5Y
,"Yield curve instantaneous forward rate, 10-year maturity","Yield curve instantaneous forward rate, 1-year maturity","Yield curve instantaneous forward rate, 2-year maturity","Yield curve instantaneous forward rate, 5-year maturity"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2023-03-23,2.503934,2.481123,2.099102,2.207212
2023-03-22,2.560806,2.666274,2.318038,2.315970
2023-03-21,2.484183,2.428350,2.142330,2.242928
2023-03-20,2.389173,2.232578,1.925149,2.144703
2023-03-17,2.299522,2.341541,2.074609,2.092412
2023-03-16,2.389200,2.478624,2.173582,2.149268
2023-03-15,2.357339,2.428436,2.147838,2.151822
2023-03-14,2.580280,3.007199,2.509555,2.351369
2023-03-13,2.386708,2.660973,2.197924,2.162146
2023-03-10,2.473105,3.069259,2.477255,2.398284
2023-03-09,2.663897,3.384679,2.759131,2.562758
2023-03-08,2.617536,3.428685,2.791318,2.531997
2023-03-07,2.728179,3.395750,2.731478,2.582065
2023-03-06,2.774561,3.456792,2.887263,2.645495
2023-03-03,2.764802,3.325198,2.726296,2.627709
2023-03-02,2.812512,3.279753,2.720491,2.672687
2023-03-01,2.736636,3.315452,2.766176,2.602469
2023-02-28,2.767047,3.282758,2.766859,2.630026
2023-02-27,2.619318,3.111991,2.576131,2.500807
2023-02-24,2.560305,3.087703,2.580853,2.477391
2023-02-23,2.571125,2.918201,2.419994,2.454270
2023-02-22,2.600728,2.937054,2.479086,2.487017
2023-02-21,2.594314,2.972581,2.551935,2.504651
2023-02-20,2.513190,2.857950,2.339427,2.398078
2023-02-17,2.550803,2.868895,2.367232,2.423972
2023-02-16,2.616956,2.900640,2.447989,2.500250
2023-02-15,2.530061,2.861357,2.364176,2.417096
2023-02-14,2.489518,2.888577,2.336416,2.361538
2023-02-13,2.445407,2.797620,2.258624,2.312050
2023-02-10,2.467725,2.743798,2.217672,2.307454
2023-02-09,2.386527,2.646378,2.162234,2.238003
2023-02-08,2.449172,2.711051,2.253413,2.303269
2023-02-07,2.407968,2.588559,2.212112,2.270619
2023-02-06,2.417182,2.556373,2.120038,2.256626
2023-02-03,2.280791,2.478679,2.049272,2.154410
2023-02-02,2.245452,2.482596,2.043918,2.133742
2023-02-01,2.363499,2.645913,2.186125,2.246319
2023-01-31,2.409445,2.645701,2.145762,2.242177
2023-01-30,2.354263,2.683885,2.213051,2.240178
2023-01-27,2.371672,2.592039,2.120442,2.219146
2023-01-26,2.287064,2.537827,2.075695,2.147706
2023-01-25,2.247599,2.495096,1.982050,2.073519
