"","range_tw",""
"1",250,0.14357
"2",240,0.14026
"3",230,0.13767
"4",220,0.13539
"5",210,0.13482
"6",200,0.13183
"7",190,0.13009
"8",180,0.12922
"9",170,0.12895
"10",160,0.12772
"11",150,0.12833
"12",250,0.13677
"13",240,0.1364
"14",230,0.13382
"15",220,0.13107
"16",210,0.13082
"17",200,0.13099
"18",190,0.13041
"19",180,0.12918
"20",170,0.12817
"21",160,0.12662
"22",150,0.12389
"23",250,1.75027
"24",240,1.77849
"25",230,1.87873
"26",220,1.85874
"27",210,1.86307
"28",200,1.8355
"29",190,1.78965
"30",180,1.73264
"31",170,1.5986
"32",160,1.56152
"33",150,1.57036
"34",250,0.14357
"35",240,0.14026
"36",230,0.13767
"37",220,0.13539
"38",210,0.13482
"39",200,0.13183
"40",190,0.13009
"41",180,0.12922
"42",170,0.12895
"43",160,0.12772
"44",150,0.12833
"45",250,0.13677
"46",240,0.1364
"47",230,0.13382
"48",220,0.13107
"49",210,0.13082
"50",200,0.13099
"51",190,0.13041
"52",180,0.12918
"53",170,0.12817
"54",160,0.12662
"55",150,0.12389
"56",250,1.75027
"57",240,1.77849
"58",230,1.87873
"59",220,1.85874
"60",210,1.86307
"61",200,1.8355
"62",190,1.78965
"63",180,1.73264
"64",170,1.5986
"65",160,1.56152
"66",150,1.57036
"67",250,0.35057
"68",240,0.34134
"69",230,0.33169
"70",220,0.3294
"71",210,0.32456
"72",200,0.31235
"73",190,0.31279
"74",180,0.30375
"75",170,0.30073
"76",160,0.29979
"77",150,0.3022
"78",250,0.45485
"79",240,0.43852
"80",230,0.43109
"81",220,0.4149
"82",210,0.40221
"83",200,0.40815
"84",190,0.41532
"85",180,0.40874
"86",170,0.40384
"87",160,0.41151
"88",150,0.4033
"89",250,3.5841
"90",240,3.87711
"91",230,3.98232
"92",220,4.11745
"93",210,4.12744
"94",200,4.02815
"95",190,3.95989
"96",180,3.89413
"97",170,3.67673
"98",160,3.58792
"99",150,3.54258
