"","range_tw",""
"1",250,0.13934
"2",240,0.13653
"3",230,0.13434
"4",220,0.13288
"5",210,0.13145
"6",200,0.12903
"7",190,0.12702
"8",180,0.12589
"9",170,0.12667
"10",160,0.12475
"11",150,0.12618
"12",250,0.12032
"13",240,0.11844
"14",230,0.11567
"15",220,0.11383
"16",210,0.11293
"17",200,0.11229
"18",190,0.11194
"19",180,0.11044
"20",170,0.10889
"21",160,0.11023
"22",150,0.10971
"23",250,1.7103
"24",240,1.75565
"25",230,1.86575
"26",220,1.84587
"27",210,1.82379
"28",200,1.77117
"29",190,1.74139
"30",180,1.66486
"31",170,1.7227
"32",160,1.68288
"33",150,1.65503
"34",250,0.13934
"35",240,0.13653
"36",230,0.13434
"37",220,0.13288
"38",210,0.13145
"39",200,0.12903
"40",190,0.12702
"41",180,0.12589
"42",170,0.12667
"43",160,0.12475
"44",150,0.12618
"45",250,0.12032
"46",240,0.11844
"47",230,0.11567
"48",220,0.11383
"49",210,0.11293
"50",200,0.11229
"51",190,0.11194
"52",180,0.11044
"53",170,0.10889
"54",160,0.11023
"55",150,0.10971
"56",250,1.7103
"57",240,1.75565
"58",230,1.86575
"59",220,1.84587
"60",210,1.82379
"61",200,1.77117
"62",190,1.74139
"63",180,1.66486
"64",170,1.7227
"65",160,1.68288
"66",150,1.65503
"67",250,0.34363
"68",240,0.33596
"69",230,0.32731
"70",220,0.3278
"71",210,0.32109
"72",200,0.30997
"73",190,0.31201
"74",180,0.30122
"75",170,0.29891
"76",160,0.29915
"77",150,0.30314
"78",250,0.50298
"79",240,0.48905
"80",230,0.47255
"81",220,0.45299
"82",210,0.43512
"83",200,0.43569
"84",190,0.43589
"85",180,0.4267
"86",170,0.41388
"87",160,0.4226
"88",150,0.4171
"89",250,3.70679
"90",240,4.05159
"91",230,4.24452
"92",220,4.34827
"93",210,4.39277
"94",200,4.27681
"95",190,4.25808
"96",180,4.01181
"97",170,4.178
"98",160,4.15014
"99",150,4.07167
